Time,ID,Bus,DataLen,
14.090658,0x23A,0,8,
14.094875,0x21A,0,8,
14.100147,0x79C,0,8,
14.104729,0x48C,0,1,
14.110028,0x2CC,0,8,
14.115057,0x102,0,6,
14.119446,0x116,0,6,
14.124929,0x154,0,8,
14.130095,0x106,0,8,
14.135076,0x2BC,0,8,
14.139511,0x2AC,0,8,
14.145082,0x2AC,0,8,
14.150135,0x228,0,4,
14.155201,0x00E,0,8,
14.160077,0x210,0,7,
14.165428,0x29A,0,8,
14.170548,0x27A,0,7,
14.175536,0x22A,0,8,
14.180023,0x28C,0,8,
14.185870,0x258,0,8,
14.190693,0x168,0,8,
14.195118,0x1F8,0,8,
14.200518,0x2A8,0,8,
14.206138,0x2DC,0,8,
14.209935,0x2DC,0,8,
14.215071,0x358,0,8,
14.220255,0x154,0,8,
14.225140,0x106,0,8,
14.230090,0x116,0,6,
14.235233,0x102,0,6,
14.240005,0x232,0,4,
14.244929,0x288,0,8,
14.250613,0x228,0,4,
14.255267,0x2A2,0,7,
14.260246,0x402,0,2,
14.264647,0x222,0,7,
14.270442,0x00E,0,8,
14.274901,0x212,0,5,
14.279519,0x6F2,0,8,
14.285012,0x202,0,8,
14.289417,0x3A8,0,8,
14.294390,0x108,0,4,
14.299376,0x154,0,8,
14.304413,0x126,0,7,
14.309366,0x102,0,6,
14.314485,0x116,0,6,
14.320158,0x106,0,8,
14.324452,0x154,0,8,
14.329469,0x228,0,4,
14.334863,0x26A,0,3,
14.339885,0x2A8,0,8,
14.344805,0x754,0,8,
14.350256,0x754,0,8,
14.355101,0x754,0,8,
14.360901,0x106,0,8,
14.365331,0x754,0,8,
14.370375,0x228,0,4,
14.375286,0x00E,0,8,
14.380149,0x102,0,6,
14.384721,0x1F8,0,8,
14.390163,0x288,0,8,
14.395186,0x154,0,8,
14.400177,0x24C,0,8,
14.405383,0x102,0,6,
14.410195,0x116,0,6,
14.415202,0x102,0,6,
14.420130,0x154,0,8,
14.425121,0x71C,0,8,
14.430075,0x40C,0,1,
14.435075,0x228,0,4,
14.440034,0x23C,0,8,
14.444808,0x106,0,8,
14.449434,0x22C,0,8,
14.454492,0x00E,0,8,
14.460201,0x268,0,8,
14.465569,0x754,0,8,
14.470330,0x368,0,8,
14.474900,0x754,0,8,
14.479603,0x288,0,8,
14.485053,0x102,0,6,
14.490140,0x2C8,0,8,
14.494515,0x116,0,6,
14.499504,0x106,0,8,
14.504498,0x154,0,8,
14.510194,0x228,0,4,
14.514859,0x2A8,0,8,
14.520058,0x2A8,0,8,
14.524987,0x108,0,4,
14.529550,0x40E,0,1,
14.534562,0x32E,0,4,
14.539539,0x20E,0,8,
14.544504,0x00E,0,8,
14.549446,0x1F8,0,8,
14.554562,0x154,0,8,
14.560102,0x102,0,6,
14.565067,0x116,0,6,
14.570540,0x106,0,8,
14.574624,0x228,0,4,
14.579971,0x408,0,1,
14.585193,0x3D8,0,3,
14.589614,0x00E,0,8,
14.594634,0x108,0,4,
14.600185,0x266,0,8,
14.604770,0x102,0,6,
14.609783,0x116,0,6,
14.615209,0x256,0,8,
14.620918,0x116,0,6,
14.625115,0x154,0,8,
14.630000,0x2A8,0,8,
14.636009,0x1F8,0,8,
14.640146,0x168,0,8,
14.644543,0x106,0,8,
14.649812,0x288,0,8,
14.654465,0x228,0,4,
14.659566,0x154,0,8,
14.664598,0x102,0,6,
14.669503,0x238,0,8,
14.675183,0x116,0,6,
14.679423,0x116,0,6,
14.684931,0x228,0,4,
14.690000,0x25C,0,8,
14.695057,0x21C,0,8,
14.700348,0x00E,0,8,
14.705294,0x168,0,8,
14.709784,0x102,0,6,
14.714841,0x102,0,6,
14.720173,0x116,0,6,
14.724987,0x106,0,8,
14.729449,0x154,0,8,
14.734717,0x228,0,4,
14.739996,0x2A8,0,8,
14.744838,0x1F8,0,8,
14.750135,0x125,0,4,
14.755273,0x108,0,4,
14.760331,0x3CA,0,8,
14.764991,0x28A,0,8,
14.769969,0x00E,0,8,
14.775143,0x218,0,8,
14.780100,0x48C,0,1,
14.785083,0x2CC,0,8,
14.790853,0x2BC,0,8,
